コースNo,コース名（短縮）,数理モデル,識別AI,生成AI,DS,ネット,教科情報,評価の根拠と特記事項,Factor1_Score,Factor2_Score,Cluster,Recommended_Order
24,RAG『坊っちゃん』,2,2,5,3,3,4,ベクトル検索(Embedding)、チャンク分割、RAGシステム構築,-1.4875803891596262,-1.4622888277454569,0,1
21,LLM入門,3,2,4,3,3,4,LLM概論、プロンプトエンジニアリング、API活用の基礎,-0.9025888761481634,-1.2874290985724908,0,2
1,TSP最適化,5,1,1,2,2,4,グラフ理論、ヒューリスティクス探索、NP困難問題へのアプローチ,0.0071368877825889,-0.8784721667106025,0,3
11,AI探偵(最適化),5,1,1,3,3,4,量子アニーリング(Fixstars Amplify)と組合せ最適化,0.1373681576696952,-0.7005292012959694,0,4
20,おせち最適化,5,1,1,3,3,4,量子アニーリング、イジングモデル、制約条件の定式化,0.1373681576696952,-0.7005292012959694,0,5
9,生成AI基礎(数字),4,3,5,4,2,4,潜在空間の数学、VAEの確率分布、GANによる画像生成,0.7085086740501467,-1.570588414234168,0,6
10,LLM基礎(Transf),5,2,5,3,2,4,Q/K/V行列演算、Positional Encoding、翻訳モデル実装,0.3186559168962835,-1.8031427282744463,0,7
25,時系列分析入門,5,2,2,5,2,4,ARIMA/SARIMAモデル、定常性検定(ADF)、自己相関,1.875627424606476,-0.7803706849421969,1,8
19,CNN基礎,4,5,2,4,1,4,畳み込み演算、カーネル、プーリング、スクラッチ実装,2.0811428111644115,-0.779047012499893,1,9
41,レコメンド協調,5,3,1,5,2,4,協調フィルタリング、コサイン類似度、行列演算,2.270983513232195,-0.4847172819619508,1,10
2,Transformer株価予測,5,5,3,5,2,5,Attention機構の数理、時系列モデル比較（CNN/LSTM/Transformer）,2.197296018407401,0.1866100155061296,1,11
3,アナログメーター読取,4,5,1,5,2,5,画像特徴抽出(VGG16)と回帰分析(LightGBM)のハイブリッドモデル,2.010299650026917,0.8110010491994164,1,12
16,Iris機械学習,4,5,1,5,2,5,決定木・kNNの境界線可視化、ハイパーパラメータ調整,2.010299650026917,0.8110010491994164,1,13
31,画像AI FT,4,5,1,4,2,5,ResNet/VGG16転移学習、残差接続、CIFAR-10分類,1.4308114684873103,0.699240408966418,1,14
13,LLM FT探究,4,5,2,5,3,5,BERT構造理解、事前学習タスク(MLM/NSP)、文書分類,1.4283776901640903,0.6107664534256336,1,15
7,タイタニックDS,3,4,1,5,2,5,データ前処理、EDA（探索的データ分析）、決定木による分類,1.2952821448103882,0.8733217589570395,1,16
43,クラスタリング,3,4,1,5,2,5,K-means法、ユークリッド距離、階層型クラスタリング,1.2952821448103882,0.8733217589570395,1,17
27,情報I共テ(3-4問),3,1,1,5,1,5,アルゴリズムトレース、相関係数、箱ひげ図の読解,0.9564659352167112,0.7194299877009191,1,18
32,情報II(データ),5,1,1,5,3,5,重回帰分析、主成分分析(PCA)、次元削減の数理,0.9626050415139824,0.6686802544992858,1,19
35,情報I(モデル化),5,1,1,4,2,5,確定・確率モデル、モンテカルロ法、ロジスティック曲線,0.8323737716268763,0.4907372890846527,1,20
18,NN探検隊,5,4,1,3,3,5,パーセプトロンの数理、誤差逆伝播法、活性化関数,0.5917017996809465,0.5328684201077747,1,21
22,NLP基礎(TF-IDF),5,3,4,5,4,5,TF-IDF統計モデル、ベクトル空間モデル、コサイン類似度,0.6407350660612885,-0.0059152191356753,1,22
33,情報II(Master),3,1,1,5,2,4,データサイエンスプロセス(TDSP)の体系化と実践,0.8409485027991371,-0.3600758624467047,1,23
44,チーム探究,3,1,1,5,2,4,チームDSプロセス(TDSP)、プロジェクト管理、欠損値処理,0.8409485027991371,-0.3600758624467047,1,24
14,性格診断BERT,4,5,1,4,3,4,適合率・再現率によるモデル評価、Kaggleデータセット利用,1.3152940360697365,-0.3802654411812057,1,25
42,テキスト分析,3,5,1,5,3,4,形態素解析(Janome)、感情分析、ワードクラウド,1.4424557528082067,-0.176947609165756,1,26
12,文章スタイル分析,5,3,3,5,3,5,多次元尺度構成法(MDS)、ユークリッド距離、計量文献学,1.2226570259241152,0.1943193766381075,1,27
5,AIの基礎,2,4,4,2,2,5,AI史、識別/生成の概念区分、社会実装への倫理的考察,-1.2935040092405476,-0.1696537328257567,2,28
17,物理探究(光),5,1,3,2,4,5,スネルの法則、フェルマーの原理、最短経路探索(A*),-1.4904465111779914,-0.1332531829289093,2,29
4,Python基礎,2,1,1,2,2,5,プログラミング言語仕様、制御構文、関数、モジュールの基礎,-1.6835819858557466,0.5418875839660108,2,30
37,情報I(デザイン),2,1,1,2,3,5,デザイン思考、HCD、デジタルデータの形式、著作権,-2.1328388975082477,0.6080699091476456,2,31
34,情報II(システム),1,3,1,3,5,5,情報システム設計(DFD/UML)、テスト手法、Web実装,-2.3788089232439926,1.002225355576022,2,32
15,数理最適化冒険,5,1,2,3,2,5,線形計画法(PuLP)、ナップザック問題、厳密解と近似解,0.120220541876943,0.1125597278962367,3,33
26,情報I共テ(1-2問),4,1,2,4,3,5,シミュレーション、デジタル証明、IPアドレス、情報社会,-0.2018746530370869,0.3820598850933214,3,34
8,探究の基礎,3,3,2,3,2,5,PPDACサイクル、仮説検証プロセス、相関係数と散布図,-0.2590503068945444,0.3541470755107967,3,35
40,情報I(アルゴ),4,1,1,3,2,5,探索・整列アルゴリズム、計算量(オーダー)、データ構造,-0.1994408747138669,0.4705338406341059,3,36
36,情報I(コンピ),3,1,1,3,1,5,コンピュータ5大装置、2進数演算、浮動小数点誤差,-0.2025104278625027,0.4959087072349226,3,37
39,DB基礎(SQL),2,1,1,5,3,5,リレーショナルモデル、SQL(JOIN/GROUP BY)、正規化,-0.3943743528894263,0.9433518298466405,3,38
38,情報I(ネット),3,1,1,5,5,5,ネットワーク階層、Wi-Fi、パケット通信、統計的分析,-0.8405617113932913,0.9841592884274584,3,39
6,Pythonゲーム制作,3,1,1,2,1,5,物理演算（衝突判定）、座標計算、イベントドリブン処理,-0.7819986094021096,0.3841480670019243,3,40
23,漢字しりとりBot,1,1,5,2,3,4,LLM API(Gemini)利用、形態素解析、アプリ開発,-2.782086075915762,-1.511728758220832,4,41
29,Webアプリ活用,1,1,1,2,5,4,Web API連携、JSONパース、非同期通信,-3.149939706379458,-0.3136964240358919,4,42
30,Webの歴史,1,1,3,1,5,5,インターネット史、TCP/IP、Web3.0、サーバーサイド基礎,-4.328497463574644,0.1873972691495332,4,43
28,Web制作基礎,1,1,4,1,5,5,フロントエンド(HTML/CSS/JS)、GitHub Copilot活用,-4.461162511784971,-0.0790196518058843,4,44
